codigo_producto,marca,modelo,sucursal,tipo,cantidad,estatus_final,motivo
"TEL-SAM-GXY A26-128GB-6R-NGO",SAMSUNG,"GALAXY A26","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-256GB-8R-BCO",SAMSUNG,"GALAXY A26","MP Capulhuac",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-RJO,MOTOROLA,G05,"MP Capulhuac",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP Capulhuac",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Capulhuac",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Capulhuac",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-BCO,HONOR,X8C,"MP Capulhuac",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-NGO",TECNO,"CAMON 40PRO","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-GR",TECNO,"CAMON 40PRO","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-VER",TECNO,"CAMON 40PRO","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-VER",TECNO,"SPARK 30C","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-INF-HOT 50PRO-256GB-8R-MOR",INFINIX,"HOT 50 PRO","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-INF-HOT 50PRO-256GB-8R-GR",INFINIX,"HOT 50 PRO","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-INF-NOTE 50S-256GB-8R-RJO",INFINIX,"NOTE 50S","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-HON-X6B PLUS-256GB-8R-VER",HONOR,"X6B PLUS","MP Capulhuac",Equipo,1,Insertada,OK
TEL-OPP-A40-128GB-4R-NGO,OPPO,A40,"MP Capulhuac",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Capulhuac",Equipo,1,Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-NGO",XIAOMI,"REDMI NOTE 14","MP Capulhuac",Equipo,1,Insertada,OK
