codigo_producto,marca,modelo,sucursal,tipo,cantidad,estatus_final,motivo
"TEL-XIA-RMI NOTE 14-256GB-8R-DOR",XIAOMI,"REDMI NOTE 14","MP San Mateo",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-128GB-4R-NGO",XIAOMI,"REDMI 14C","MP San Mateo",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP San Mateo",Equipo,1,Insertada,OK
"TEL-XIA-RMI NOTE 14-256GB-8R-AZ",XIAOMI,"REDMI NOTE 14","MP S Galeana",Equipo,1,Insertada,OK
"TEL-XIA-RMI NOTE 14-256GB-8R-AZ",XIAOMI,"REDMI NOTE 14","MP S Galeana",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-NGO",SAMSUNG,"GALAXY A06","MP S Galeana",Equipo,1,Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-NGO",XIAOMI,"REDMI NOTE 14","MP S Tianguistenco",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-NGO",SAMSUNG,"GALAXY A06","MP S Galeana",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-64GB-4R-GR",SAMSUNG,"GALAXY A06","MP S Tianguistenco",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
"TAB-SKY-SKYPAD 10 MAX-64GB-3R-NGO",SKY,"SKYPAD 10 MAX","MP Almacen General",Equipo,1,Insertada,OK
