codigo_producto,marca,modelo,sucursal,tipo,cantidad,estatus_final,motivo
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-VER",XIAOMI,"REDMI NOTE 14","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP Malinalco",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-NGO",XIAOMI,"REDMI 14C","MP Molino",Equipo,1,Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION","MP Molino",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS","MP Tenancingo",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-GR",TECNO,"CAMON 40PRO","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-VER",MOTOROLA,"EDGE 50 FUSION","MP Totoltepec",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP San Lucas",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-AZ",SAMSUNG,"GALAXY A06","MP San Lucas",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-GR",SAMSUNG,"GALAXY A06","MP San Lucas",Equipo,1,Insertada,OK
"TEL-MOT-G24 PW-256GB-4R-AZ",MOTOROLA,"G24 POWER","MP San Lucas",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30C-256GB-16R-BCO",TECNO,"SPARK 30C","MP San Lucas",Equipo,1,Insertada,OK
"TEL-HON-X6B PLUS-256GB-8R-MOR",HONOR,"X6B PLUS","MP San Lucas",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP San Lucas",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-NGO",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-NGO",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-VER",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-VER",SAMSUNG,"GALAXY A16","MP Almacen General",Equipo,1,Insertada,OK
"TEL-MOT-G24 PW-256GB-4R-AZ",MOTOROLA,"G24 POWER","MP Tenango",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-NGO",TECNO,"CAMON 40PRO","MP San Lucas",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30PRO-256GB-8R-BCO",TECNO,"SPARK 30 PRO","MP San Lucas",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-NGO",SAMSUNG,"GALAXY A16","MP Capulhuac",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-RJO,MOTOROLA,G05,"MP San Mateo",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP San Mateo",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-RJO,MOTOROLA,G05,"MP Tenango",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Tenango",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Tenango",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-GR",TECNO,"CAMON 40PRO","MP S Galeana",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Tultepec",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-GR",SAMSUNG,"GALAXY A16","MP Aldama",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-VER",SAMSUNG,"GALAXY A16","MP Aldama",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Aldama",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Ocoyoacac",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP S Tianguistenco",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP S Tianguistenco",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Tenancingo",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Tenancingo",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS","MP Tenancingo",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Molino",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS","MP Molino",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Seminario",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Seminario",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP Seminario",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS","MP Seminario",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP Totoltepec",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP San Lucas",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP San Lucas",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-64GB-4R-NGO",SAMSUNG,"GALAXY A06","MP Tenango",Equipo,1,Insertada,OK
"TEL-HON-X6B PLUS-256GB-8R-VER",HONOR,"X6B PLUS","MP Capulhuac",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP San Mateo",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Tenango",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP Tenango",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-64GB-4R-VER",SAMSUNG,"GALAXY A06","MP Tenango",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-VER",SAMSUNG,"GALAXY A06","MP Lerma",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Lerma",Equipo,1,Insertada,OK
TEL-HON-X8B-256GB-8R-NGO,HONOR,X8B,"MP Lerma",Equipo,1,Insertada,OK
TEL-MOT-G04S-128GB-4R-NGO,MOTOROLA,G04S,"MP Tultepec",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-64GB-4R-NGO",SAMSUNG,"GALAXY A06","MP Aldama",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-64GB-4R-NGO",SAMSUNG,"GALAXY A06","MP Aldama",Equipo,1,Insertada,OK
"TEL-MOT-G24 PW-256GB-8R-CEL",MOTOROLA,"G24 POWER","MP Aldama",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Ocoyoacac",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-VER",SAMSUNG,"GALAXY A16","MP Ocoyoacac",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP S Tianguistenco",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP S Tianguistenco",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-RJO,MOTOROLA,G05,"MP Molino",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Molino",Equipo,1,Insertada,OK
"TEL-HON-X6B PLUS-256GB-8R-VER",HONOR,"X6B PLUS","MP Molino",Equipo,1,Insertada,OK
"TEL-MOT-G24 PW-256GB-4R-AZ",MOTOROLA,"G24 POWER","MP Seminario",Equipo,1,Insertada,OK
TEL-MOT-G04S-128GB-4R-NGO,MOTOROLA,G04S,"MP Seminario",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP San Mateo",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS","MP San Mateo",Equipo,1,Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS","MP San Mateo",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-VER",SAMSUNG,"GALAXY A16","MP Totoltepec",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Totoltepec",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Totoltepec",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Totoltepec",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Totoltepec",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Totoltepec",Equipo,1,Insertada,OK
"TEL-SAM-GXY A06-64GB-4R-VER",SAMSUNG,"GALAXY A06","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30PRO-256GB-8R-NGO",TECNO,"SPARK 30 PRO","MP Totoltepec",Equipo,1,Insertada,OK
TEL-MOT-G04S-128GB-4R-VER,MOTOROLA,G04S,"MP Totoltepec",Equipo,1,Insertada,OK
"TEL-HON-X6B PLUS-256GB-8R-MOR",HONOR,"X6B PLUS","MP Totoltepec",Equipo,1,Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A","MP Totoltepec",Equipo,1,Insertada,OK
TEL-MOT-G04S-128GB-4R-NGO,MOTOROLA,G04S,"MP Totoltepec",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Aldama",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Aldama",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP San Mateo",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP San Mateo",Equipo,1,Insertada,OK
"TEL-MOT-G24 PW-256GB-4R-CEL",MOTOROLA,"G24 POWER","MP San Mateo",Equipo,1,Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-VER",XIAOMI,"REDMI NOTE 14","MP San Mateo",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30PRO-256GB-8R-NGO",TECNO,"SPARK 30 PRO","MP San Mateo",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Lerma",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Ocoyoacac",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Ocoyoacac",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Ocoyoacac",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Malinalco",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Malinalco",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Malinalco",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Tenancingo",Equipo,1,Insertada,OK
"TEL-SAM-GXY A16-128GB-6R-GR",SAMSUNG,"GALAXY A16","MP Tenancingo",Equipo,1,Insertada,OK
TEL-MOT-G05-128GB-4R-VER,MOTOROLA,G05,"MP Tenancingo",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Tenango",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Tenango",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP S Galeana",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP S Galeana",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP S Galeana",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-AQU,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8B-512GB-8R-PTA,HONOR,X8B,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-BCO,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X7C-256GB-8R-VER,HONOR,X7C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-MOR,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
TEL-HON-X8C-256GB-8R-VER,HONOR,X8C,"MP Almacen General",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-NGO",XIAOMI,"REDMI 14C","MP Almacen General",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-NGO",XIAOMI,"REDMI 14C","MP Almacen General",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-NGO",XIAOMI,"REDMI 14C","MP Almacen General",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-VER",XIAOMI,"REDMI 14C","MP Almacen General",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-VER",XIAOMI,"REDMI 14C","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-128GB-6R-BCO",SAMSUNG,"GALAXY A26","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-128GB-6R-BCO",SAMSUNG,"GALAXY A26","MP Almacen General",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-128GB-6R-NGO",SAMSUNG,"GALAXY A26","MP Almacen General",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-NGO",TECNO,"CAMON 40PRO","MP Aldama",Equipo,1,Insertada,OK
"TEL-TEC-CAM 40PRO-256GB-8R-GR",TECNO,"CAMON 40PRO","MP Aldama",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-NGO",XIAOMI,"REDMI 14C","MP Aldama",Equipo,1,Insertada,OK
"TEL-XIA-RMI 14C-256GB-4R-VER",XIAOMI,"REDMI 14C","MP Aldama",Equipo,1,Insertada,OK
TEL-TEC-POVA6-256GB-8R-AZ,TECNO,"POVA 6","MP Aldama",Equipo,1,Insertada,OK
TEL-TEC-POVA6-256GB-8R-GR,TECNO,"POVA 6","MP Aldama",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-128GB-6R-MTA",SAMSUNG,"GALAXY A26","MP Aldama",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-128GB-6R-NGO",SAMSUNG,"GALAXY A26","MP Aldama",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30C-128GB-4R-NGO",TECNO,"SPARK 30C","MP Aldama",Equipo,1,Insertada,OK
"TEL-TEC-SPK 30C-128GB-4R-NGO",TECNO,"SPARK 30C","MP Aldama",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-128GB-6R-NGO",SAMSUNG,"GALAXY A26","MP Capulhuac",Equipo,1,Insertada,OK
"TEL-SAM-GXY A26-256GB-8R-BCO",SAMSUNG,"GALAXY A26","MP Capulhuac",Equipo,1,Insertada,OK
