codigo_producto,marca,modelo,color,ram,capacidad,imei1,imei2,sucursal,estatus_final,motivo
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077582421,864500077598435,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077583122,864500077599136,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077582645,864500077598658,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077583189,864500077599193,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077583239,864500077599243,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077583155,864500077599169,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077583130,864500077599144,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077582686,864500077598690,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077582777,864500077598781,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-CIA",HONOR,"MAGIC 7 LITE",CIAN,8GB,128GB,864500077583205,864500077599219,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077886889,864500077926891,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077884801,864500077924813,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077886384,864500077926396,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077886780,864500077926792,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077887432,864500077927444,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077887358,864500077927360,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077885568,864500077925570,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077886707,864500077926719,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077886632,864500077926644,Eulalia,Insertada,OK
"TEL-HON-MAGIC 7 LITE-512GB-8R-MOR",HONOR,"MAGIC 7 LITE",MORADO,8GB,128GB,864500077887242,864500077927253,Eulalia,Insertada,OK
