codigo_producto,marca,modelo,color,ram,capacidad,imei1,imei2,sucursal,estatus_final,motivo
"TEL-XIA-RMI 14C-128GB-4R-NGO",XIAOMI,"REDMI 14C",NEGRO,4RAM,128GB,869914074537145,869914074537152,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS",NEGRO,4RAM,256GB,862208072685114,862208073135119,"MiPlan Almacen",Insertada,OK
TEL-HON-X6A-128GB-4R-CIA,HONOR,X6A,CIAN,4RAM,128GB,860404078248484,860404078548487,"MiPlan Almacen",Insertada,OK
TEL-HON-X6A-128GB-4R-CIA,HONOR,X6A,CIAN,4RAM,128GB,860404078282103,,"MiPlan Almacen",Insertada,OK
TEL-MOT-G04-128GB-4R-VER,MOTOROLA,G04,VERDE,4RAM,128GB,351113355163383,,"MiPlan Almacen",Insertada,OK
TEL-MOT-G04-128GB-4R-VER,MOTOROLA,G04,VERDE,4RAM,128GB,351113354434132,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G35 5G-128GB-4R-NGO",MOTOROLA,G35,NEGRO,4RAM,128GB,356304132498383,,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A05-128GB-4R-NGO",SAMSUNG,"GALAXY A05",NEGRO,4RAM,128GB,358251521006491,359715691006498,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 14C-128GB-4R-VER",XIAOMI,"REDMI 14C",VERDE,4RAM,128GB,863537071997768,863537071997776,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS",AZUL,4RAM,256GB,862208072806355,862208073256352,"MiPlan Almacen",Insertada,OK
TEL-HON-X6A-128GB-4R-CIA,HONOR,X6A,CIAN,4RAM,128GB,860404077632761,,"MiPlan Almacen",Insertada,OK
TEL-HON-X8B-256GB-8R-AQU,HONOR,X8B,AQUAMARINA,8RAM,256GB,858657074940156,,"MiPlan Almacen",Insertada,OK
TEL-HON-X8B-256GB-8R-AQU,HONOR,X8B,AQUAMARINA,8RAM,256GB,868557073824690,868557073839706,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G35 5G-128GB-4R-VER",MOTOROLA,G35,VERDE,4RAM,128GB,356304132489465,356304134989462,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS",NEGRO,4RAM,256GB,862208071162339,862208071412338,"MiPlan Almacen",Insertada,OK
TEL-MOT-E15-64GB-2R-AZ,MOTOROLA,E15,AZUL,2RAM,64GB,354526451047431,354526451047449,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-VER",SAMSUNG,"GALAXY A06",VERDE,4RAM,128GB,359706683247976,,"MiPlan Almacen",Insertada,OK
TEL-HON-X6A-128GB-4R-CIA,HONOR,X6A,CIAN,4RAM,128GB,860404074989784,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G24 PW-256GB-8R-CEL",MOTOROLA,"G24 POWER",CELESTE,8RAM,256GB,355913384834367,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G24 PW-256GB-8R-CEL",MOTOROLA,"G24 POWER",CELESTE,8RAM,256GB,355913384013426,,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-VER",SAMSUNG,"GALAXY A06",VERDE,4RAM,128GB,359706683247901,,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-CIA",HONOR,"200 LITE",CIAN,8RAM,256GB,864616063986275,864616064003286,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-AZ",HONOR,"PLAY 9A",AZUL,4RAM,64GB,862703070757915,862703071057919,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-AZ",HONOR,"PLAY 9A",AZUL,4RAM,64GB,862703070758384,862703071058388,"MiPlan Almacen",Insertada,OK
